"kMEblue"	"kMEcyan"	"kMEgreenyellow"	"kMEmagenta"	"kMEpurple"	"kMEtan"
"TRINITY_DN4704_c2_g1_i4"	0.224076812449454	-0.165633939260446	0.438156540902531	-0.244588026808509	-0.0742851129524332	0.315596627393437
"TRINITY_DN4704_c2_g1_i5"	0.905107392783474	-0.334780672349449	0.341628731263242	0.35833163042688	-0.853300982888763	0.44621769995573
"TRINITY_DN4704_c2_g1_i6"	-0.356896847854106	-0.149916042634033	-0.0368398350587293	-0.00306799481334195	0.196701410617771	0.371736769559607
"TRINITY_DN4733_c0_g1_i1"	0.921045419367121	-0.131056799489082	0.513549430958344	0.259523403417808	-0.830409724656943	0.54923566574242
"TRINITY_DN4736_c1_g1_i2"	0.152552065974609	-0.0162926497707484	-0.150468981294049	0.484597989914483	-0.44087808847676	0.489936487888369
"TRINITY_DN4708_c0_g1_i1"	0.937213899661981	-0.107707778335198	0.367564149527123	0.112893518261706	-0.676205069158544	0.160679564999956
"TRINITY_DN4702_c0_g1_i6"	0.57560812283419	-0.1330190549596	0.0871691929402703	0.339443734549997	-0.343832663680823	0.355031843433017
"TRINITY_DN4712_c0_g4_i1"	0.82352071847686	-0.111648901726164	0.585722500607297	0.388294572468163	-0.902861193050032	0.717539323305326
"TRINITY_DN4712_c0_g2_i1"	-0.530726626146904	0.397555084015306	-0.301743050527074	-0.570159253725791	0.800413807138416	-0.540621102750399
"TRINITY_DN4712_c0_g1_i1"	-0.666629114809011	0.15927816309942	-0.705866707182375	-0.217719247249319	0.871645989491871	-0.787285219194176
"TRINITY_DN4712_c0_g1_i2"	-0.132629059822302	0.373226643645036	-0.522568751967311	-0.0656688827035791	0.502272391674095	-0.632789174121277
"TRINITY_DN4712_c0_g3_i1"	-0.160044108771957	0.157371940233771	-0.260267006521635	-0.268841276652857	0.525740452036	-0.40494108758408
"TRINITY_DN4712_c0_g3_i3"	-0.521063887017678	-0.228450382446578	-0.0403713919177754	0.0981874264761168	0.42051741808911	-0.184449278881506
"TRINITY_DN4712_c4_g1_i1"	-0.58840140215909	0.240991580370168	-0.686883133783546	-0.200446237652362	0.833067290506686	-0.784536501494976
"TRINITY_DN4741_c2_g2_i1"	0.809153944822789	-0.45267637371729	0.258985669351627	0.523715598094842	-0.665525257580844	0.317634925191623
"TRINITY_DN4792_c0_g1_i1"	0.891459639942412	-0.0895185032683393	0.40854784680157	0.238931310717677	-0.830552167984024	0.609292792997987
"TRINITY_DN4792_c0_g2_i1"	0.867896188756922	-0.0908237153373437	0.489097187980455	0.183495812745731	-0.845633371066574	0.684166935015874
"TRINITY_DN4740_c0_g2_i8"	0.569431020362548	-0.268408847487191	0.130264659432119	0.606563766472373	-0.612441296952297	0.543227929337678
"TRINITY_DN4740_c0_g1_i1"	0.550154016658249	0.0762759735114089	0.576900927709931	0.043682540768452	-0.590481395001127	0.802967103895972
"TRINITY_DN4783_c0_g1_i13"	-0.134142417162045	-0.19728179148115	0.118871814101384	-0.521586408373397	0.481143063888661	-0.210729166715434
"TRINITY_DN4783_c0_g1_i24"	-0.607468032146145	-0.210085972533699	0.0443164130328361	-0.232708133128809	0.533296512405711	-0.263572599090895
"TRINITY_DN4774_c0_g1_i1"	0.881787760821041	-0.165733552372514	0.492743166735297	0.241503417266988	-0.845382205717174	0.67472711130262
"TRINITY_DN4767_c0_g1_i1"	0.354605319131902	0.0244057435517541	0.524729321987233	0.246685297723487	-0.72278278115471	0.880743831422314
"TRINITY_DN28940_c0_g1_i1"	0.892663840013504	-0.211293831299063	0.246485524433293	0.186939247905679	-0.722558649981565	0.273619298681055
"TRINITY_DN28946_c0_g1_i1"	-0.215216821157686	0.981589834828016	-0.0829791519267362	-0.201537332225991	0.215871465464744	-0.148881492617971
"TRINITY_DN19767_c0_g1_i1"	-0.904874488330794	0.12924700752634	-0.392606204858883	-0.423938802414983	0.92755997284782	-0.550748341999893
"TRINITY_DN19730_c2_g1_i1"	-0.249974199918949	0.147528692703018	-0.456329968801431	-0.0522275111060532	0.563710360136004	-0.597041931452042
"TRINITY_DN19730_c3_g1_i1"	0.850476573293937	-0.161931829023565	0.455614152807117	0.421179162746216	-0.884109167452267	0.532226968705822
"TRINITY_DN19757_c1_g1_i1"	0.712280269215581	-0.134897395581408	0.363904521654796	0.324012939554293	-0.461248128504106	0.228753325783229
"TRINITY_DN19786_c0_g2_i1"	-0.42758476835857	-0.0915985707746531	-0.515539292057361	-0.161511051262214	0.662620136559624	-0.630411714179145
"TRINITY_DN19747_c0_g1_i4"	-0.182675262380311	0.0326902252972892	-0.369045170834515	0.180260681561461	0.491543190611759	-0.80405561235072
"TRINITY_DN19747_c0_g1_i7"	-0.415026401194276	-0.0922464280068648	-0.242795958860396	-0.35882810466265	0.626885772738752	-0.492863068874354
"TRINITY_DN0_c4_g1_i4"	-0.25097180572172	-0.0317890726217542	-0.1878963943039	-0.426466506109485	0.652178430938343	-0.503119448744606
"TRINITY_DN0_c0_g1_i12"	-0.0808575443536813	0.0159537221695429	0.237255315619135	0.106849954545258	-0.106951621975194	0.676175727828603
"TRINITY_DN0_c0_g1_i28"	0.0722291594769573	-0.0603653994211797	0.241089358373578	0.193294810679487	0.0397253804291502	0.142898018172564
"TRINITY_DN0_c0_g1_i34"	0.0315144836687178	-0.113064089443166	0.327856377253357	0.241673945851249	-0.500875018678355	0.753384657582801
"TRINITY_DN0_c0_g1_i39"	0.787493048166987	-0.15890354044946	0.269928908621548	0.387689352920865	-0.591355509735004	0.435526138718973
"TRINITY_DN0_c0_g1_i4"	-0.146609634615783	0.307736138416481	-0.272957312374155	-0.168196231733797	0.597173742835892	-0.694860537190694
"TRINITY_DN0_c2_g1_i1"	-0.595610647203132	0.343718325483703	-0.416990439185401	-0.368110040771182	0.85567864315063	-0.683018651254599
"TRINITY_DN0_c2_g1_i14"	-0.16362683660139	0.0446278816701883	-0.387626354649802	-0.160035495305918	0.579068136255521	-0.597003475547345
"TRINITY_DN0_c2_g1_i16"	-0.219279845010236	0.122656311198439	-0.107784949874861	-0.205801603454926	0.0370235695644624	0.241003733846468
"TRINITY_DN0_c2_g1_i17"	-0.460608614138826	0.150959664744992	-0.429545480154282	-0.505064743912524	0.653583954093445	-0.625244856927949
