"kMEblack"	"kMEblue"	"kMEbrown"	"kMEpink"	"kMEred"	"kMEyellow"
"TRINITY_DN4718_c0_g1_i1"	-0.473186477961281	-0.620999965876214	0.595456780887512	0.0447728415468955	-0.422876439654622	0.813943363700084
"TRINITY_DN4718_c0_g1_i2"	0.331088236044434	0.407337863825084	-0.535418531469477	-0.148318976077667	0.306768612738466	-0.51176170812572
"TRINITY_DN4724_c0_g1_i1"	0.139430951707232	0.576686441906719	-0.280042624381647	-0.199707774610075	0.185867736565002	-0.263419533163221
"TRINITY_DN4758_c0_g1_i2"	0.323318037398395	0.833500358338159	-0.36180906309632	-0.0907694255241097	0.0217379314596989	-0.543708170951661
"TRINITY_DN4743_c0_g1_i14"	-0.490056824086993	-0.638449145933052	0.887049826672187	0.286591880438223	-0.144332368528933	0.452987328040438
"TRINITY_DN4707_c0_g1_i2"	0.0775554804297802	0.541245928971759	-0.104487799367318	0.336919851780997	-0.00234827240205502	-0.414099540553214
"TRINITY_DN4720_c0_g1_i1"	0.189581285203027	0.751643023533067	-0.334645387990606	0.0199470816430963	-0.029223647372768	-0.522411584422764
"TRINITY_DN4780_c0_g1_i2"	-0.0787773718817626	-0.245548296935445	0.232457189840752	0.0842777639264236	-0.379063616086049	0.429573764335514
"TRINITY_DN4780_c0_g3_i3"	-0.372117215735804	-0.741515012217184	0.501672967466672	-0.0537553798476829	-0.333320831496663	0.891482920686966
"TRINITY_DN4714_c2_g1_i1"	0.363344757879244	0.770228499345576	-0.634208603565602	-0.240930573185165	0.233797512938581	-0.712424625713416
"TRINITY_DN4714_c0_g1_i17"	-0.117266390484489	-0.609822407112057	0.553407323875904	-0.227257607481304	-0.367239834659626	0.792325241422557
"TRINITY_DN4714_c0_g1_i2"	-0.248005825587778	-0.380842650870192	0.521677930570159	0.184406533085362	0.0927829963462845	0.363682541639821
"TRINITY_DN4714_c0_g1_i4"	-0.537638469519803	-0.487666535480381	0.341002473144504	-0.130364732235111	-0.498299072859399	0.650307012578826
"TRINITY_DN4714_c0_g1_i5"	0.367612028856172	0.897464323344034	-0.650021408136076	-0.0798931533704194	0.346494154908728	-0.890739883352902
"TRINITY_DN4714_c0_g1_i6"	0.442824548115093	0.679384084034401	-0.383810420691067	-0.0931756079548138	0.33104868321419	-0.516358042256093
"TRINITY_DN4730_c0_g2_i1"	-0.477871633353023	-0.789927971909194	0.884864537210982	0.103983328805335	-0.435323567276486	0.816896264986031
"TRINITY_DN4735_c0_g1_i1"	0.306799034420562	0.891641714408178	-0.587627594395856	-0.113605803908687	0.304471459384339	-0.832120319967458
"TRINITY_DN4754_c0_g1_i2"	0.0342165705948412	-0.192161500559348	0.59894814978128	0.262294704515052	0.068294037187786	0.101215248837918
