"kMEblack"	"kMEbrown"	"kMEgreen"	"kMEmagenta"	"kMEpink"	"kMEyellow"
"TRINITY_DN5617_c0_g1_i1"	0.115246003746978	-0.206752920016483	0.764968862116492	-0.0593619274104856	0.0650533684767639	-0.632612877668836
"TRINITY_DN5677_c0_g1_i3"	0.0237132425634902	-0.368175147275489	0.497878710772053	0.495153853601305	0.19482632375175	-0.734240602591787
"TRINITY_DN5677_c0_g1_i4"	-0.0910686651428934	0.5548040725929	-0.128838167145771	0.195076616997348	-0.224941716613971	0.262015602812845
"TRINITY_DN5696_c0_g1_i1"	-0.0211120826026053	-0.283504848260953	0.614791620362548	0.0949387338294325	0.264911958536014	-0.4214633656896
"TRINITY_DN5696_c0_g1_i2"	0.193470009615792	-0.421501695285044	0.820471206240834	-0.0891602385668506	0.388770839571739	-0.614450348324154
"TRINITY_DN5624_c0_g1_i1"	0.0391275042717726	-0.392047564757335	0.839818907720005	-0.127886799595568	0.173303347479588	-0.559896885595996
"TRINITY_DN5660_c1_g1_i2"	0.229786177793145	-0.596086501723749	0.84056078610367	-0.416247206078657	0.276783243539111	-0.527910361660557
"TRINITY_DN5660_c2_g1_i1"	0.245506948205863	-0.502809429605993	0.662812394032999	-0.438749449563084	0.172987724035424	-0.319429076454151
"TRINITY_DN5660_c2_g1_i2"	0.144053319448609	-0.104400645678833	0.414043468006201	0.131626787382316	0.283688766082898	-0.277435513268752
"TRINITY_DN5671_c0_g1_i1"	-0.318053171839164	0.767290490961862	-0.27619458666968	0.226989557212653	-0.404153529410787	0.391739994820964
"TRINITY_DN5671_c0_g1_i12"	-0.397006949583703	0.694911794260715	-0.17076987686607	0.34127900466256	-0.148502354015831	0.235730055337025
"TRINITY_DN5671_c0_g1_i8"	-0.261877698920565	0.905105315562546	-0.563518951309483	0.230496226953543	-0.366614429466269	0.569286609593205
"TRINITY_DN5683_c0_g1_i1"	0.120595161197688	-0.666093393126146	0.931845330813179	-0.327541076333682	0.307743477809023	-0.699589075327747
"TRINITY_DN5658_c1_g1_i2"	0.0395982155956534	0.222852634996466	0.131498737622073	0.857645588010225	-0.0273965837724955	-0.386489193530642
"TRINITY_DN5642_c0_g1_i1"	-0.49683828846541	0.290838574138603	-0.554852569589476	-0.113073969424342	-0.578217332338616	0.806142344969599
"TRINITY_DN5642_c0_g1_i2"	-0.299254900529844	0.507410236618997	-0.604137861077472	-0.212813738392443	-0.332984668638704	0.857543614370748
"TRINITY_DN5642_c0_g1_i3"	-0.288055991322775	0.40659497661982	-0.755931085966371	-0.175827115700399	-0.328647446090081	0.90869989359561
"TRINITY_DN5681_c0_g1_i1"	-0.151116152868009	-0.0623541499017422	-0.0255363869150993	-0.168842376482895	0.103472275510395	0.222046581535441
"TRINITY_DN5622_c0_g1_i1"	0.159473389414305	-0.533462773406448	0.844779481886563	-0.168116126103396	0.380971141995385	-0.769796146112943
"TRINITY_DN5699_c0_g1_i3"	-0.0218279209170178	0.313427430369528	-0.253685339994784	-0.308159387783934	-0.103860365654372	0.324782512830187
"TRINITY_DN5635_c0_g1_i1"	0.268642095658155	-0.593609852107678	0.964127217309543	-0.196848051072096	0.335578454278934	-0.82964786804032
"TRINITY_DN5611_c0_g2_i2"	0.305250184824529	-0.280656568835428	0.785349239666735	0.0161686722725427	0.354267578237745	-0.665321755887212
"TRINITY_DN37977_c0_g1_i1"	-0.169360680161943	0.877908924166591	-0.406550706304416	0.395884149194529	-0.423694510004513	0.283455344814166
"TRINITY_DN37897_c0_g1_i1"	-0.176470689071104	0.279758631933037	0.101923165249163	0.35829458876401	-0.16573976853413	-0.146632656640379
"TRINITY_DN37941_c0_g1_i1"	0.950542680804453	-0.366682894665539	0.288924029388234	-0.265767933847597	0.126506743093867	-0.382861468313977
"TRINITY_DN28830_c0_g1_i1"	0.264180989825117	-0.594447189988934	0.962422268967163	-0.104040761913309	0.347768020331283	-0.842771225541745
"TRINITY_DN28802_c0_g1_i1"	0.348286121135867	-0.565771513541499	0.860481274260225	-0.0889994959808509	0.510434672653964	-0.708772948790914
"TRINITY_DN28816_c0_g1_i1"	0.255870486834235	-0.258669441700115	0.775232468634057	0.0292361577988176	0.141536660243953	-0.544079276304191
"TRINITY_DN12423_c0_g2_i1"	0.109760142445239	0.18584910448729	0.350772399206451	0.0444403515664727	0.0576638440321437	-0.214946823747509
"TRINITY_DN12473_c0_g1_i2"	-0.374741852531784	0.92598846400506	-0.757085195014214	0.27225195438973	-0.410973992419894	0.654160956200393
"TRINITY_DN12428_c0_g1_i1"	0.0668014552472241	-0.0449205739062861	0.639242023226887	0.244078933256442	0.144755793604909	-0.464585404181956
"TRINITY_DN12499_c0_g1_i1"	0.204078817947361	-0.634929230675693	0.885718201367352	-0.167249887654716	0.361655426774637	-0.800412956414994
"TRINITY_DN12451_c0_g1_i1"	0.133306843899598	-0.597256180159542	0.894783704673531	-0.29865099321514	0.35273419531064	-0.613768326777495
"TRINITY_DN12437_c0_g2_i1"	-0.275396993244294	0.367566462811555	-0.629388940325237	-0.0881329625969241	-0.455729123072982	0.853344686831956
"TRINITY_DN12462_c0_g1_i1"	-0.361932764885875	0.540110444929437	-0.748815844676588	-0.0668708572874532	-0.380703327240371	0.762611843771225
"TRINITY_DN12415_c1_g1_i1"	0.0999601349964279	-0.406691525741899	0.899056039757928	-0.158338068338192	0.246549242724369	-0.588084773329591
"TRINITY_DN12415_c2_g1_i3"	-0.0989519288517473	-0.398944334109521	0.835451214045735	-0.0269560670343865	0.208952988486488	-0.551395472231243
"TRINITY_DN12415_c2_g1_i4"	0.405668011076839	-0.220095876188683	0.334086468775355	-0.608599040973085	0.123467115608952	-0.131277986785118
"TRINITY_DN12415_c0_g1_i13"	-0.121806433505702	0.278909945323027	-0.528696634777917	0.0703655924988876	0.121937268048959	0.354114493161907
"TRINITY_DN12416_c0_g1_i1"	0.228371380198367	0.0851041561799229	0.0958952250091445	-0.313222373175694	-0.216964230705044	0.0411213243833619
"TRINITY_DN12405_c0_g2_i3"	-0.501019928374959	0.786904718736121	-0.761236464921449	-0.0278009749800129	-0.392967519001276	0.918283297509777
"TRINITY_DN4725_c0_g1_i1"	-0.121866057078227	-0.428255871702808	0.0837566507212663	-0.407728514570341	0.163651758489428	-0.0670034776886922
"TRINITY_DN4725_c0_g1_i4"	0.26337096540026	-0.657053611542721	0.845061838834731	-0.0620483845559409	0.40331299459623	-0.817948354998663
"TRINITY_DN4706_c0_g4_i1"	-0.107351218277591	0.221088789686809	-0.0224495290420781	0.973806416432274	-0.168095102896713	-0.273648168386757
"TRINITY_DN4706_c1_g1_i3"	-0.45210384135652	0.448148236978596	-0.359797442876521	0.873135205032061	-0.392159704011964	0.15962825080322
"TRINITY_DN4706_c0_g1_i1"	-0.439335371450751	0.532758278868436	-0.701452037290207	0.0932506709451701	-0.475715083925219	0.816993930151087
"TRINITY_DN4706_c0_g1_i2"	-0.00516409627376541	0.434846324498301	-0.641532489690303	-0.148807681427321	-0.399155846092503	0.76012615768613
"TRINITY_DN4715_c3_g1_i3"	-0.203705473922732	0.593604270844598	-0.266112725289305	0.229389807333945	-0.139265970617666	0.2310547152596
"TRINITY_DN4715_c1_g1_i1"	0.267637053429633	-0.373221819159938	0.825345466830987	-0.0276507479385954	0.309700747890963	-0.630063880974888
"TRINITY_DN4715_c2_g1_i1"	0.143403291291821	-0.457235131600115	0.884381293474549	-0.162185163282889	0.384736180878161	-0.607469616200526
"TRINITY_DN4703_c0_g1_i1"	-0.453835566785641	0.843868425810647	-0.638035797837437	-0.0407462329452552	-0.421770224795439	0.783645492228357
"TRINITY_DN4749_c0_g1_i1"	0.0527967091538868	-0.323573707120333	0.786874651049613	-0.0672773211866866	0.337530030231504	-0.494175566917957
"TRINITY_DN4718_c0_g1_i1"	-0.423814282441017	0.601280300076967	-0.600613469055247	0.0546075539739212	-0.468993447202372	0.79754649630043
"TRINITY_DN4718_c0_g1_i2"	0.308681221623403	-0.528739792144056	0.403348181484756	-0.138711242686202	0.31439369298407	-0.50670871514335
"TRINITY_DN4724_c0_g1_i1"	0.191813668251725	-0.259347343108261	0.565247466387123	-0.199068813089849	0.127495075089058	-0.246166517368689
"TRINITY_DN4758_c0_g1_i2"	0.027157693835428	-0.356310862114774	0.834264810065012	-0.0868840297248148	0.326462079891413	-0.53738133089035
"TRINITY_DN4743_c0_g1_i14"	-0.144671491300155	0.880690802389135	-0.630447262649627	0.28546040441552	-0.489491164248679	0.456846075385692
"TRINITY_DN4707_c0_g1_i2"	0.00140573500854953	-0.0941964259654843	0.541115400851235	0.335447246792597	0.0807932438825637	-0.409786318433147
"TRINITY_DN4720_c0_g1_i1"	-0.0191036812705943	-0.325689833259661	0.753246481423682	0.0156151078106042	0.191271049920466	-0.513747545562069
"TRINITY_DN4780_c0_g1_i2"	-0.376416012531431	0.248803436837997	-0.250192328483189	0.0941840694065252	-0.0873666242757695	0.422648860645703
"TRINITY_DN4780_c0_g3_i3"	-0.337164519414891	0.513927242662515	-0.734994650795181	-0.048954811929882	-0.375356420644768	0.88912410828978
"TRINITY_DN4714_c2_g1_i1"	0.234975561274323	-0.626288511181557	0.770699218570491	-0.237354471537445	0.356763100337689	-0.700585745544987
"TRINITY_DN4714_c0_g1_i17"	-0.366307092311137	0.565754087136285	-0.598440256198344	-0.220930076935948	-0.110739060306047	0.780911322817549
"TRINITY_DN4714_c0_g1_i2"	0.0942014770090484	0.516621868233777	-0.36284206203333	0.188955664592243	-0.252795303543048	0.355149540042702
"TRINITY_DN4714_c0_g1_i4"	-0.498320450380877	0.349826533757269	-0.484451800795767	-0.125218582348661	-0.538415145556402	0.651850156527683
"TRINITY_DN4714_c0_g1_i5"	0.34388028096426	-0.645424851822488	0.89461849358459	-0.0788560263138499	0.363635776049281	-0.880385423910512
"TRINITY_DN4714_c0_g1_i6"	0.332841521268951	-0.369273291702695	0.677079867621624	-0.0985719758493195	0.435323976833984	-0.502375557451034
"TRINITY_DN4730_c0_g2_i1"	-0.438580413503892	0.888844719559649	-0.78043017906461	0.0978169663640849	-0.481792213075442	0.820169908694339
"TRINITY_DN4735_c0_g1_i1"	0.30374852696857	-0.581774905383204	0.888343407987001	-0.107992966025572	0.304579661267574	-0.822668525926995
"TRINITY_DN4754_c0_g1_i2"	0.0706566615494043	0.590267727145587	-0.18378409475799	0.25958093233664	0.0379544834620339	0.106346652637592
"TRINITY_DN4739_c0_g1_i1"	0.258606990623695	-0.798057847246925	0.810495572795095	-0.298125689328338	0.454222296022875	-0.737880642565651
"TRINITY_DN4742_c0_g1_i1"	0.253659177364801	-0.545163872156736	0.949221342164794	-0.212406538550291	0.267210556396246	-0.706335328422471
"TRINITY_DN4744_c0_g1_i12"	-0.339046407948698	0.288379650984726	-0.732524817241697	-0.163464636555423	-0.0205373250513702	0.777771941001842
"TRINITY_DN4744_c0_g1_i5"	0.0705746966401259	-0.409245160240601	0.216160436065356	-0.0293187197091582	-0.140767749738659	-0.0854976814173678
