"kMEblack"	"kMEblue"	"kMEbrown"	"kMEcyan"	"kMEgreenyellow"	"kMEred"	"kMEsalmon"	"kMEyellow"
"TRINITY_DN5662_c0_g2_i2"	0.791960399048631	0.768951096730258	-0.50090894934378	0.02177506223175	0.25050924638282	-0.454336565158549	0.189968292321719	-0.507703743672397
"TRINITY_DN5662_c1_g1_i17"	0.0688186400814612	0.520364843968787	-0.579032894772106	0.304856953524754	0.644925999762203	-0.29774398305551	0.244671003936156	-0.560763807582032
"TRINITY_DN5662_c21_g2_i1"	-0.502237047144499	-0.677678545478674	0.968236802754653	0.100336403180383	-0.34275730066508	-0.0122002687394459	-0.343182846221491	0.484206513273009
"TRINITY_DN5622_c0_g1_i7"	0.77960418701135	0.958342666202456	-0.782854492646111	-0.0921613947555768	0.362890512409504	-0.46888193945796	0.385965968890793	-0.618061194222533
"TRINITY_DN5637_c1_g1_i4"	0.972777422453908	0.68534255667174	-0.530975280075306	-0.149086504123383	0.136274283820256	-0.253628997429242	0.124547937792749	-0.376092644154064
"TRINITY_DN5616_c8_g1_i1"	0.867708938766712	0.905889258936857	-0.681415667363893	-0.151436593515251	0.256512914343213	-0.453978984871476	0.349643861586971	-0.552356617981438
"TRINITY_DN5616_c0_g1_i3"	0.668759579520428	0.754344801768768	-0.43709533210445	0.0836332469694409	0.427279995817094	-0.65828309896559	0.395031665192125	-0.477851331675996
"TRINITY_DN5616_c0_g1_i12"	0.939766519329655	0.730365623567886	-0.590496884361049	-0.0966225473196803	0.271776620155603	-0.34221262484206	0.314049721454801	-0.432452807794746
"TRINITY_DN5616_c11_g1_i1"	0.818675309057714	0.85106692960239	-0.516277916453919	-0.0981909743221786	0.26324455243235	-0.560108416175961	0.401231256116984	-0.502920610246629
"TRINITY_DN5616_c0_g2_i8"	0.64759427986731	0.82728921182049	-0.591555597369273	0.128795851071601	0.451602476971469	-0.567410858436487	0.485395857986016	-0.697722293941473
"TRINITY_DN5616_c0_g3_i1"	0.383556934798926	0.697938675099225	-0.589249876607088	0.102738516856092	0.328543670839542	-0.323742747033636	0.427010104300478	-0.611075512982969
"TRINITY_DN5616_c0_g3_i5"	0.567120760194498	0.840314127539453	-0.567821762951985	-0.0844124870875952	0.298042218045883	-0.564557693035528	0.341677147298996	-0.489449208546472
"TRINITY_DN5605_c6_g1_i1"	-0.102609775531039	0.2603141901051	-0.0660336218292686	-0.345217372817913	-0.265940427415554	-0.173154386605143	-0.0751143129336651	-0.335369369077846
"TRINITY_DN5628_c1_g1_i17"	0.180872581086359	0.719168839569053	-0.617051945137488	0.058221133880341	0.442831898062109	-0.393453925628804	0.354051528420856	-0.598240391564049
"TRINITY_DN5631_c0_g1_i2"	0.754270400753004	0.614697358291648	-0.565128444914007	0.169764735405601	0.595750772046299	-0.21815798612862	0.177529620068754	-0.416814910916151
"TRINITY_DN37816_c0_g1_i1"	-0.334729200228453	-0.578157937686271	0.165736658005755	-0.140071594880265	-0.302510267736857	0.421306500774301	-0.308996718521634	0.921054172658696
"TRINITY_DN37868_c0_g1_i2"	-0.449451958732358	-0.691055058764199	0.548579196646651	-0.0481324142862896	-0.375578740955065	0.337948687377588	-0.381363262864902	0.9420156110017
"TRINITY_DN37855_c0_g2_i3"	0.540088107557915	0.81355002089263	-0.641425400886211	-0.0022283565238878	0.292430723546367	-0.328154096732497	0.489247304056099	-0.654633700123443
"TRINITY_DN37821_c0_g1_i10"	-0.307194261628978	-0.681231771212796	0.379281686870565	-0.218389472126579	-0.472842793035263	0.475585349603775	-0.414275195844251	0.966943734021581
"TRINITY_DN37814_c0_g1_i3"	-0.311745759850336	-0.563115707881112	0.00416949791301843	-0.198508579380273	-0.337206586845996	0.976866579608071	-0.356436148758145	0.391248901148332
"TRINITY_DN37883_c1_g2_i7"	-0.510060726449164	-0.689678111303635	0.443349752228781	0.16187688597707	-0.171254660468046	0.364981906097593	-0.22995110290235	0.823122983789645
"TRINITY_DN37810_c0_g1_i7"	0.782396579479567	0.730555099298905	-0.689889215637874	0.121234862992012	0.547386698253507	-0.323068471669892	0.2925747656092	-0.431265801314037
"TRINITY_DN37828_c1_g1_i1"	-0.626530998306703	-0.72524943937197	0.951981274817429	0.121543415296325	-0.271685408403148	0.0501005942871849	-0.264551718527182	0.364213571535234
"TRINITY_DN79355_c0_g1_i7"	-0.359024031021154	-0.668582768920698	0.408004544990325	-0.114862816499176	-0.322672924388352	0.359280133605092	-0.418254792569714	0.973604978416254
"TRINITY_DN79315_c0_g2_i1"	-0.476281934653601	-0.661554543952411	0.964951524569621	0.102176579781296	-0.35307992789808	-0.0472442992653811	-0.360258959566812	0.440981312058923
"TRINITY_DN63083_c3_g1_i1"	-0.560764921790711	-0.647230783617204	0.887218799395307	0.180730643283337	-0.172884702276079	-0.0406627899468077	-0.177440237609148	0.245616617681087
"TRINITY_DN63081_c0_g1_i5"	-0.312874826803758	-0.562547832487327	0.319990967562519	-0.118340723452896	-0.348746450521544	0.341711639431468	-0.359341060547625	0.944420399400904
"TRINITY_DN63028_c0_g1_i2"	-0.358861286864059	-0.70851545023006	0.595652389587164	-0.023344633611087	-0.326819284086608	0.253213147990428	-0.540342681288124	0.946633334187169
"TRINITY_DN28797_c0_g3_i7"	0.864239653188981	0.495030533816068	-0.528576109376081	-0.119310330429435	0.101591587261615	0.0464043876486838	0.0693877809660323	-0.304960574531626
"TRINITY_DN28742_c0_g1_i10"	0.759628362847871	0.908114857249205	-0.488877603081268	-0.271302218823456	0.0721074823235401	-0.606985710667172	0.285825500207688	-0.600422721510696
"TRINITY_DN28742_c0_g1_i2"	0.388292699538896	0.463767130951921	-0.52505569448133	0.163803048609764	0.566337829119819	-0.127251816673402	0.16588676803792	-0.340209092929589
"TRINITY_DN28708_c1_g1_i6"	-0.622672798745799	-0.736456680386079	0.940833991073735	0.189446465901314	-0.269875372015606	0.0419164009788152	-0.265288373878336	0.370481011115861
