"Transcript_ID"	"id127_TPM"	"id280_TPM"
"TRINITY_DN5663_c0_g2_i1"	0	0
"TRINITY_DN5638_c1_g2_i1"	0	0
"TRINITY_DN5638_c1_g2_i2"	0	1.49316
"TRINITY_DN5638_c1_g1_i1"	0	0
"TRINITY_DN5638_c1_g1_i10"	0.00291744	0
"TRINITY_DN5638_c1_g1_i11"	0.368375	0.178072
"TRINITY_DN5638_c1_g1_i13"	0	0
"TRINITY_DN5638_c1_g1_i2"	2.59035	0.513628
"TRINITY_DN5638_c1_g1_i5"	0.654215	0
"TRINITY_DN5638_c1_g1_i6"	0	1.37623
"TRINITY_DN5638_c1_g1_i9"	1.34683	0
"TRINITY_DN5662_c0_g1_i2"	0	0
"TRINITY_DN5662_c0_g1_i3"	0	0.351713
"TRINITY_DN5662_c0_g1_i4"	0.797008	0
"TRINITY_DN5662_c0_g1_i5"	0	0
"TRINITY_DN5662_c0_g1_i6"	0.145172	1.38477
"TRINITY_DN5681_c0_g1_i1"	4.23344	1.41583
"TRINITY_DN5659_c0_g1_i1"	8.7718	0.333544
"TRINITY_DN5659_c0_g1_i2"	0.461674	0.166772
"TRINITY_DN5622_c0_g1_i1"	7.14961	2.01596
"TRINITY_DN5652_c0_g1_i1"	4.19225	2.53073
"TRINITY_DN5698_c0_g1_i1"	1.42635	0.44029
"TRINITY_DN5698_c0_g1_i10"	0.199018	0
"TRINITY_DN5698_c0_g1_i12"	0.247077	0
"TRINITY_DN5698_c0_g1_i13"	0.618495	0
"TRINITY_DN5698_c0_g1_i2"	0.576474	0
"TRINITY_DN5698_c0_g1_i3"	0	0.508598
"TRINITY_DN5698_c0_g1_i4"	0	1.22903
"TRINITY_DN5698_c0_g1_i6"	2.48964	0.653173
"TRINITY_DN5698_c0_g1_i8"	0	0
"TRINITY_DN5698_c0_g1_i9"	0	0
"TRINITY_DN5698_c1_g1_i1"	0	0.362271
"TRINITY_DN5637_c0_g1_i1"	7.29769	1.5903
"TRINITY_DN5687_c0_g1_i1"	0	0
"TRINITY_DN5687_c0_g1_i12"	0.216966	2.12954
"TRINITY_DN5687_c0_g1_i13"	0.119052	0.201843
"TRINITY_DN5687_c0_g1_i14"	0	0.189207
"TRINITY_DN5687_c0_g1_i2"	0	1.16873
"TRINITY_DN5687_c0_g1_i3"	0	0.67421
"TRINITY_DN5687_c0_g1_i4"	0	1.18073
"TRINITY_DN5687_c0_g1_i5"	0	0
"TRINITY_DN5687_c0_g1_i6"	0	1.4171
"TRINITY_DN5687_c0_g1_i8"	0	3.08033
"TRINITY_DN5687_c0_g1_i9"	0	0
"TRINITY_DN5616_c0_g1_i1"	0.190576	3.05314
"TRINITY_DN5616_c0_g1_i5"	0.528384	18.6779
"TRINITY_DN5616_c0_g1_i7"	0.528384	18.6779
"TRINITY_DN5684_c0_g1_i1"	0	0.066396
"TRINITY_DN5684_c0_g1_i3"	0.671919	0.0310013
"TRINITY_DN5684_c0_g2_i1"	8.40329	1.24004
"TRINITY_DN5684_c0_g2_i2"	0	0
"TRINITY_DN5674_c3_g1_i1"	0	0.201328
"TRINITY_DN5674_c0_g1_i1"	0	0.892111
"TRINITY_DN5674_c0_g1_i2"	0	0.50105
"TRINITY_DN5674_c0_g2_i1"	0	0
"TRINITY_DN5674_c1_g1_i1"	0.553218	0.936976
"TRINITY_DN5667_c0_g1_i1"	0	1.31687
"TRINITY_DN5667_c0_g1_i2"	0	0.797937
"TRINITY_DN5699_c0_g1_i2"	0	1.22053
"TRINITY_DN5699_c0_g1_i3"	0	15.637
"TRINITY_DN5699_c0_g1_i5"	0.0985106	8.04649
"TRINITY_DN5699_c0_g1_i6"	0	1.29139
"TRINITY_DN5635_c0_g1_i1"	84.5026	23.1164
"TRINITY_DN5686_c0_g1_i1"	0	0
"TRINITY_DN5688_c0_g1_i1"	0	0
"TRINITY_DN5688_c0_g2_i1"	0	0.383996
"TRINITY_DN5611_c0_g1_i1"	1.6408	0.371296
"TRINITY_DN5611_c0_g2_i1"	0	0
"TRINITY_DN5611_c0_g2_i2"	26.8785	4.47939
"TRINITY_DN5611_c0_g2_i3"	0	0.00643941
"TRINITY_DN5623_c0_g1_i1"	0	0
"TRINITY_DN5689_c0_g1_i1"	32.1638	1.04201
"TRINITY_DN5629_c0_g1_i1"	1.6226	0
"TRINITY_DN5628_c0_g1_i1"	0	0.156622
"TRINITY_DN5628_c0_g1_i2"	0	0.606058
"TRINITY_DN5631_c0_g2_i1"	0	0
"TRINITY_DN5631_c0_g1_i1"	0	0
"TRINITY_DN5626_c0_g1_i3"	0	0.280078
"TRINITY_DN5626_c0_g1_i4"	0.232101	0.692139
"TRINITY_DN5626_c0_g1_i5"	5.749	2.99518
"TRINITY_DN5675_c0_g1_i1"	0	0
"TRINITY_DN5675_c0_g1_i2"	1.0135	0.576267
"TRINITY_DN5675_c0_g1_i3"	3.86048	0.742736
"TRINITY_DN5602_c0_g1_i1"	1.68144	0.56528
"TRINITY_DN5602_c0_g1_i2"	0.0725607	1.06106
"TRINITY_DN5615_c0_g1_i1"	0.880611	0.405703
"TRINITY_DN5609_c1_g1_i1"	0	1.68927
"TRINITY_DN37964_c0_g1_i1"	0	0
"TRINITY_DN37936_c0_g1_i1"	0	0.260399
"TRINITY_DN37908_c0_g1_i1"	0.135169	0
"TRINITY_DN37881_c0_g1_i1"	0.36853	0.200152
"TRINITY_DN37967_c0_g1_i1"	0	0
"TRINITY_DN37946_c0_g1_i1"	0	0.162408
"TRINITY_DN37927_c0_g1_i1"	0	0.137703
"TRINITY_DN37887_c0_g1_i1"	0	0
"TRINITY_DN37962_c0_g1_i1"	0.432289	0.132393
"TRINITY_DN37954_c0_g1_i1"	0	0
"TRINITY_DN37958_c0_g1_i1"	0	0
"TRINITY_DN37970_c0_g1_i1"	0	0
