"Transcript_ID"	"id173_TPM"	"id272_TPM"
"TRINITY_DN5649_c0_g1_i12"	4.6014	5.45873
"TRINITY_DN5649_c0_g1_i14"	0	6.61642
"TRINITY_DN5649_c0_g1_i18"	0	0
"TRINITY_DN5649_c0_g1_i21"	2.71852	9.61137
"TRINITY_DN5649_c0_g1_i22"	0	0
"TRINITY_DN5649_c0_g1_i23"	0.493819	1.16667
"TRINITY_DN5649_c0_g1_i25"	0	0
"TRINITY_DN5649_c0_g1_i26"	0.493819	33.5338
"TRINITY_DN5649_c0_g1_i27"	0	0
"TRINITY_DN5649_c0_g1_i29"	0	0
"TRINITY_DN5649_c0_g1_i6"	0.355758	8.13765
"TRINITY_DN5649_c0_g1_i7"	0	0.321128
"TRINITY_DN5604_c0_g1_i1"	0	0
"TRINITY_DN5604_c0_g1_i2"	0	0
"TRINITY_DN5617_c0_g1_i1"	5.67992	26.2379
"TRINITY_DN5618_c0_g1_i1"	0.183645	0.901745
"TRINITY_DN5645_c0_g1_i1"	0	0
"TRINITY_DN5645_c0_g1_i2"	0	0
"TRINITY_DN5645_c0_g1_i3"	0	0
"TRINITY_DN5679_c0_g1_i1"	1.60036	0.114847
"TRINITY_DN5679_c0_g2_i1"	1.03924	0.323294
"TRINITY_DN5648_c0_g1_i1"	0	0.183781
"TRINITY_DN5677_c0_g1_i2"	0	37.0674
"TRINITY_DN5677_c0_g1_i3"	1768.79	1762.88
"TRINITY_DN5677_c0_g1_i4"	0	13.7429
"TRINITY_DN5677_c0_g1_i6"	0	1.9151
"TRINITY_DN5677_c0_g1_i7"	0	0
"TRINITY_DN5677_c0_g2_i3"	0	1.73378
"TRINITY_DN5677_c0_g2_i4"	0	1.16146
"TRINITY_DN5677_c0_g2_i5"	0	1.86586
"TRINITY_DN5677_c0_g2_i6"	0	2.92898
"TRINITY_DN5677_c0_g2_i7"	0	6.2504e-05
"TRINITY_DN5677_c0_g2_i8"	0	2.96949
"TRINITY_DN5641_c0_g1_i1"	0	0
"TRINITY_DN5632_c0_g2_i1"	0	0.276154
"TRINITY_DN5632_c0_g1_i1"	0	0
"TRINITY_DN5632_c0_g1_i10"	0	0
"TRINITY_DN5632_c0_g1_i11"	0	0.436604
"TRINITY_DN5632_c0_g1_i12"	0.000344224	0.582139
"TRINITY_DN5632_c0_g1_i13"	0.00105823	0
"TRINITY_DN5632_c0_g1_i14"	0	2.94011
"TRINITY_DN5632_c0_g1_i15"	0	0.0987546
"TRINITY_DN5632_c0_g1_i2"	0	0
"TRINITY_DN5632_c0_g1_i3"	0	1.68487
"TRINITY_DN5632_c0_g1_i5"	0.0930325	0
"TRINITY_DN5632_c0_g1_i6"	0	0
"TRINITY_DN5632_c0_g1_i8"	0.515005	0
"TRINITY_DN5632_c0_g1_i9"	0	0.28153
"TRINITY_DN5696_c0_g1_i1"	2.00746	0
"TRINITY_DN5696_c0_g1_i2"	0.63873	0.401347
"TRINITY_DN5640_c0_g1_i1"	0	0.547334
"TRINITY_DN5640_c0_g1_i2"	0	0.756218
"TRINITY_DN5640_c0_g1_i4"	0	0
"TRINITY_DN5640_c0_g1_i5"	0.845065	0.248066
"TRINITY_DN5640_c0_g1_i7"	0	2.04101
"TRINITY_DN5624_c0_g1_i1"	0	0.816992
"TRINITY_DN5660_c2_g2_i1"	4.41014	3.97424
"TRINITY_DN5660_c1_g2_i1"	17.7064	5.85414
"TRINITY_DN5660_c1_g1_i1"	0	6.29264
"TRINITY_DN5660_c1_g1_i2"	3.616	10.4344
"TRINITY_DN5660_c2_g1_i1"	1.43432	17.3538
"TRINITY_DN5660_c2_g1_i2"	8.28684	11.5769
"TRINITY_DN5657_c0_g1_i1"	0	0.174009
"TRINITY_DN5671_c0_g1_i1"	0.193444	5.1055
"TRINITY_DN5671_c0_g1_i11"	0	3.52233
"TRINITY_DN5671_c0_g1_i12"	0.717974	29.628
"TRINITY_DN5671_c0_g1_i14"	0	10.0271
"TRINITY_DN5671_c0_g1_i16"	0	0.278456
"TRINITY_DN5671_c0_g1_i17"	0	2.49388
"TRINITY_DN5671_c0_g1_i18"	0	3.25549
"TRINITY_DN5671_c0_g1_i19"	0	1.24202
"TRINITY_DN5671_c0_g1_i2"	0	1.91509
"TRINITY_DN5671_c0_g1_i20"	0	3.10161
"TRINITY_DN5671_c0_g1_i4"	0	1.45982
"TRINITY_DN5671_c0_g1_i5"	0	0.795474
"TRINITY_DN5671_c0_g1_i6"	0	0.212212
"TRINITY_DN5671_c0_g1_i8"	2.14417	109.498
"TRINITY_DN5671_c0_g1_i9"	0.356363	0
"TRINITY_DN5619_c0_g1_i1"	0.214362	0
"TRINITY_DN5601_c0_g1_i1"	0	0.633688
"TRINITY_DN5601_c0_g1_i2"	0	0.643839
"TRINITY_DN5683_c0_g1_i1"	3.11522	2.78781
"TRINITY_DN5682_c0_g1_i1"	0	0.375487
"TRINITY_DN5646_c0_g1_i1"	0.156936	0
"TRINITY_DN5646_c0_g1_i2"	0	0.379935
"TRINITY_DN5646_c0_g1_i3"	0	0.117468
"TRINITY_DN5646_c1_g1_i1"	0.635559	7.23901
"TRINITY_DN5658_c0_g1_i1"	0	3.79951
"TRINITY_DN5658_c1_g1_i1"	0	1.05476
"TRINITY_DN5658_c1_g1_i2"	12.0212	6.85619
"TRINITY_DN5678_c5_g1_i1"	0	0.279718
"TRINITY_DN5678_c1_g1_i1"	0.29414	0.16171
"TRINITY_DN5678_c1_g1_i2"	0	0
"TRINITY_DN5678_c1_g1_i3"	0	0
"TRINITY_DN5678_c1_g1_i4"	0	1.43796
"TRINITY_DN5678_c3_g1_i1"	0	0
"TRINITY_DN5642_c0_g1_i1"	0	48.5532
"TRINITY_DN5642_c0_g1_i2"	0	22.8354
"TRINITY_DN5642_c0_g1_i3"	0	15.4769
"TRINITY_DN5642_c0_g1_i4"	0	4.45384
"TRINITY_DN5606_c0_g1_i1"	0	0.0740257
"TRINITY_DN5663_c0_g5_i1"	0	0
"TRINITY_DN5663_c0_g4_i1"	0	0.633561
"TRINITY_DN5663_c0_g6_i1"	0.0880118	0.272053
"TRINITY_DN5663_c0_g1_i1"	0.126899	0
"TRINITY_DN5663_c0_g1_i2"	0	0.234304
"TRINITY_DN5663_c0_g1_i3"	0	0.338005
"TRINITY_DN5663_c0_g3_i1"	0	0
"TRINITY_DN5663_c0_g2_i1"	0	0.512866
"TRINITY_DN5638_c1_g2_i1"	0.338285	0.203808
"TRINITY_DN5638_c1_g2_i2"	0	1.12942
"TRINITY_DN5638_c1_g1_i1"	0.719859	0
"TRINITY_DN5638_c1_g1_i10"	0	0
"TRINITY_DN5638_c1_g1_i11"	0	0
"TRINITY_DN5638_c1_g1_i13"	0	0
"TRINITY_DN5638_c1_g1_i2"	0.00500263	1.03704
"TRINITY_DN5638_c1_g1_i5"	5.96064	2.24557
"TRINITY_DN5638_c1_g1_i6"	0.385703	10.6015
"TRINITY_DN5638_c1_g1_i9"	0	0
"TRINITY_DN5662_c0_g1_i2"	0	0
"TRINITY_DN5662_c0_g1_i3"	0	0.732764
"TRINITY_DN5662_c0_g1_i4"	0	14.3117
"TRINITY_DN5662_c0_g1_i5"	0.40689	0
"TRINITY_DN5662_c0_g1_i6"	0	7.6122
"TRINITY_DN5681_c0_g1_i1"	1.49735	31.288
"TRINITY_DN5659_c0_g1_i1"	2.29534	0.084072
"TRINITY_DN5659_c0_g1_i2"	0.765113	0.084072
"TRINITY_DN5622_c0_g1_i1"	6.19555	1.34958
"TRINITY_DN5652_c0_g1_i1"	0	0.561401
"TRINITY_DN5698_c0_g1_i1"	0	0
"TRINITY_DN5698_c0_g1_i10"	0	0.471944
"TRINITY_DN5698_c0_g1_i12"	0	0
"TRINITY_DN5698_c0_g1_i13"	0	0
"TRINITY_DN5698_c0_g1_i2"	0	0
"TRINITY_DN5698_c0_g1_i3"	0.512027	1.14549
"TRINITY_DN5698_c0_g1_i4"	0.355094	0
"TRINITY_DN5698_c0_g1_i6"	0.355094	3.51553
"TRINITY_DN5698_c0_g1_i8"	0	0
"TRINITY_DN5698_c0_g1_i9"	0	0
"TRINITY_DN5698_c1_g1_i1"	0	0
"TRINITY_DN5637_c0_g1_i1"	0.0947391	0.872245
"TRINITY_DN5687_c0_g1_i1"	0	0
"TRINITY_DN5687_c0_g1_i12"	0	1.41988
"TRINITY_DN5687_c0_g1_i13"	0	0
"TRINITY_DN5687_c0_g1_i14"	0	0
"TRINITY_DN5687_c0_g1_i2"	0	0.502441
"TRINITY_DN5687_c0_g1_i3"	0	0
"TRINITY_DN5687_c0_g1_i4"	0	0
"TRINITY_DN5687_c0_g1_i5"	0	0
"TRINITY_DN5687_c0_g1_i6"	0	0.326302
"TRINITY_DN5687_c0_g1_i8"	0	3.53297
"TRINITY_DN5687_c0_g1_i9"	0	0
"TRINITY_DN5616_c0_g1_i1"	0	3.73205
"TRINITY_DN5616_c0_g1_i5"	0.0361577	11.1292
"TRINITY_DN5616_c0_g1_i7"	0.0361577	11.1292
"TRINITY_DN5684_c0_g1_i1"	0	0.176299
"TRINITY_DN5684_c0_g1_i3"	0	0.346837
"TRINITY_DN5684_c0_g2_i1"	2.24414	1.23156
"TRINITY_DN5684_c0_g2_i2"	0	0
"TRINITY_DN5674_c3_g1_i1"	0	0
"TRINITY_DN5674_c0_g1_i1"	0	7.26309
"TRINITY_DN5674_c0_g1_i2"	0	0
"TRINITY_DN5674_c0_g2_i1"	0	0
"TRINITY_DN5674_c1_g1_i1"	0	0
"TRINITY_DN5667_c0_g1_i1"	0	1.86509
"TRINITY_DN5667_c0_g1_i2"	0	2.69632
"TRINITY_DN5699_c0_g1_i2"	0	0.165433
"TRINITY_DN5699_c0_g1_i3"	5.80002	5.50889
"TRINITY_DN5699_c0_g1_i5"	0.646327	3.91176
"TRINITY_DN5699_c0_g1_i6"	0	0.854907
"TRINITY_DN5635_c0_g1_i1"	37.6958	22.3582
"TRINITY_DN5686_c0_g1_i1"	0	0
"TRINITY_DN5688_c0_g1_i1"	0	0
"TRINITY_DN5688_c0_g2_i1"	0	1.59304
"TRINITY_DN5611_c0_g1_i1"	0	0.271382
"TRINITY_DN5611_c0_g2_i1"	0	7.63959
"TRINITY_DN5611_c0_g2_i2"	2.03482	15.0046
"TRINITY_DN5611_c0_g2_i3"	0	8.03041
"TRINITY_DN5623_c0_g1_i1"	145.973	0
"TRINITY_DN5689_c0_g1_i1"	0	0.213243
"TRINITY_DN5629_c0_g1_i1"	0	0
"TRINITY_DN5628_c0_g1_i1"	0	0
"TRINITY_DN5628_c0_g1_i2"	0	1.23449
"TRINITY_DN5631_c0_g2_i1"	0	0
"TRINITY_DN5631_c0_g1_i1"	0	0
"TRINITY_DN5626_c0_g1_i3"	0	0.222187
"TRINITY_DN5626_c0_g1_i4"	0	0
"TRINITY_DN5626_c0_g1_i5"	6.8716	4.62226
"TRINITY_DN5675_c0_g1_i1"	0	0
"TRINITY_DN5675_c0_g1_i2"	13.5901	0
"TRINITY_DN5675_c0_g1_i3"	0	0.469581
"TRINITY_DN5602_c0_g1_i1"	0	0
"TRINITY_DN5602_c0_g1_i2"	0	0.77791
"TRINITY_DN5615_c0_g1_i1"	4.2345	0
"TRINITY_DN5609_c1_g1_i1"	2.42192	7.69873
"TRINITY_DN37964_c0_g1_i1"	0	0
"TRINITY_DN37936_c0_g1_i1"	0	0.35097
"TRINITY_DN37908_c0_g1_i1"	0	0
"TRINITY_DN37881_c0_g1_i1"	0.48085	0.277952
"TRINITY_DN37967_c0_g1_i1"	0	0.816802
"TRINITY_DN37946_c0_g1_i1"	0	0
"TRINITY_DN37927_c0_g1_i1"	0.290114	0.186006
"TRINITY_DN37887_c0_g1_i1"	0	0
"TRINITY_DN37962_c0_g1_i1"	0	0
"TRINITY_DN37954_c0_g1_i1"	0	0
"TRINITY_DN37958_c0_g1_i1"	0	0
"TRINITY_DN37970_c0_g1_i1"	0	0
"TRINITY_DN37911_c0_g1_i1"	0	0
"TRINITY_DN37888_c0_g1_i1"	0	0
"TRINITY_DN37904_c0_g1_i1"	0	0
"TRINITY_DN37884_c0_g1_i1"	0	0.898242
"TRINITY_DN37963_c0_g1_i1"	0	0.463697
"TRINITY_DN37935_c0_g1_i1"	0.886121	0
"TRINITY_DN37972_c0_g1_i1"	1.78661	0
"TRINITY_DN37940_c0_g1_i1"	0	0.25295
"TRINITY_DN37902_c0_g1_i1"	0	0
"TRINITY_DN37977_c0_g1_i1"	1.39577	121.461
"TRINITY_DN37924_c0_g1_i1"	0	0.48448
