"kMEblack"	"kMEblue"	"kMEbrown"	"kMEgrey"	"kMEred"	"kMEyellow"
"TRINITY_DN21_c0_g1_i14"	-0.398042200560306	0.804711620940278	0.936526265239376	-0.172574644189908	-0.113210493341026	0.0818256471691238
"TRINITY_DN21_c0_g1_i2"	-0.141720330333694	0.971565281552605	0.578792009393126	-0.176178166948951	0.380202714926719	-0.376327681847193
"TRINITY_DN21_c0_g1_i7"	-0.191351457454815	0.960909994640712	0.578682170739885	-0.290550438106912	0.234934844430618	-0.298824392766028
"TRINITY_DN21_c0_g1_i3"	-0.188648277204519	0.961374115799733	0.568023968700622	-0.206207623561439	0.372758433182395	-0.358972490539783
"TRINITY_DN21_c0_g1_i8"	-0.315907021921165	0.92658546351181	0.538511659532053	-0.246344223924981	0.183021356302983	-0.185945589851513
"TRINITY_DN29_c0_g1_i11"	-0.221567896045654	-0.29594183581833	-0.0965210060599162	0.00454597857714699	-0.244116188139422	0.398678288704145
"TRINITY_DN29_c0_g1_i8"	-0.0945980255651796	0.126113792703464	0.0969441274950948	-0.147290720692008	0.161725007824579	-0.158266586844616
"TRINITY_DN29_c0_g1_i1"	-0.487654531146231	0.844791927723547	0.84551315122664	-0.302801238306942	-0.15635883279623	0.0994561239341475
"TRINITY_DN29_c0_g1_i7"	-0.427743831792752	0.328326553898647	0.652937454636097	0.00010475742561301	-0.606263559265366	0.425108828046614
"TRINITY_DN29_c0_g1_i2"	-0.263201971367065	0.613924337489082	0.535157798319676	-0.406175859601041	-0.120945791058097	0.0300656261046576
"TRINITY_DN64_c0_g1_i3"	-0.151364767968564	0.968152334592391	0.64162584954878	-0.463045825547588	0.287509067739313	-0.330274629278389
"TRINITY_DN64_c0_g1_i5"	-0.198295117497249	0.972780084865434	0.616961150651859	-0.305867160485345	0.308074051631275	-0.334204049558165
"TRINITY_DN8_c0_g2_i2"	-0.16452533693727	0.955549562950836	0.557406171072067	-0.322000651147484	0.361899411246426	-0.345647829249215
"TRINITY_DN8_c0_g1_i1"	-0.220354166022937	0.906812698346723	0.552234767089111	-0.41259473892971	0.18413349851936	-0.261892686220126
