Q5NVI9	GO:0005783;GO:0016020;GO:0005739;GO:0005634;GO:0048471;GO:0005524;GO:0001671;GO:0051087;GO:0030544;GO:0046872;GO:0051082;GO:0043066;GO:0043508;GO:0043065;GO:0006457;GO:0070585;GO:0051223;GO:0009408
P39744	GO:0005739;GO:0030690;GO:0030691;GO:0005730;GO:0005654;GO:0005634;GO:0030687;GO:0003729;GO:0042273
Q9SAH9	GO:0016621;GO:0016491;GO:0016616;GO:0007623;GO:0006952;GO:0042754;GO:0009699;GO:0009409
Q9FKR9	GO:0030687;GO:0003677;GO:0046872
Q6PH85	GO:0005737;GO:0005634;GO:0000151;GO:0097602;GO:0031624;GO:0032182;GO:2000436;GO:0051443;GO:0045116;GO:2000434
Q9VZX9	GO:0005829;GO:0006730;GO:0019510;GO:0033353
Q9SEE9	GO:0061574;GO:0005737;GO:0016607;GO:0005730;GO:0005654;GO:0005681;GO:0003723;GO:0000398;GO:0000381;GO:0008380;GO:0010182
Q50KB1	GO:0005783;GO:0005788;GO:0003756
C0H4K2	
P56571	GO:0005739
Q15746	GO:0015629;GO:0032154;GO:0005737;GO:0005829;GO:0030027;GO:0005886;GO:0001725;GO:0003779;GO:0005524;GO:0005516;GO:0046872;GO:0004687;GO:0004672;GO:0060414;GO:0032060;GO:0071476;GO:0006936;GO:0051928;GO:0030335;GO:0090303;GO:0006468;GO:0006939;GO:0014820
Q6DRG1	GO:0005737;GO:0005634;GO:1990904;GO:0003723;GO:0002088;GO:0048024
C5A2F7	GO:0005524;GO:0003684;GO:0008094;GO:0006310;GO:0006281
P54132	GO:0005694;GO:0005737;GO:0005829;GO:0000800;GO:0000228;GO:0016363;GO:0005730;GO:0005654;GO:0005634;GO:0016605;GO:0032991;GO:0005657;GO:0043138;GO:1905773;GO:0036310;GO:0005524;GO:0016887;GO:0000405;GO:0003677;GO:0003678;GO:0008094;GO:0061749;GO:0000400;GO:0009378;GO:0051880;GO:0004386;GO:0042802;GO:0002039;GO:0042803;GO:0003697;GO:0061821;GO:0061849;GO:0000403;GO:0008270;GO:0072757;GO:0006974;GO:0072711;GO:0071479;GO:0000729;GO:0032508;GO:0006310;GO:0006281;GO:0006260;GO:0006268;GO:0000724;GO:0044806;GO:0007095;GO:0051782;GO:0045910;GO:0045893;GO:0051259;GO:0051260;GO:0000079;GO:0090329;GO:1901796;GO:0031297;GO:0048478;GO:0010165;GO:0090656;GO:0000723;GO:0061820
P11966	GO:0005967;GO:0045254;GO:0004739;GO:0006086;GO:0006006;GO:0006099
P21569	GO:0005737;GO:0005829;GO:0016018;GO:0003755;GO:0006457;GO:0000413
Q9BW91	GO:0030054;GO:0070062;GO:0005759;GO:0005739;GO:0016604;GO:0031965;GO:0043262;GO:0047631;GO:0019144;GO:0046032;GO:0046709;GO:0034656
Q9ULJ7	GO:0005768;GO:0015031;GO:1990126
Q6R2W3	GO:0003676;GO:0015074
Q5XGY1	GO:0005730;GO:0042254
F4IDS7	GO:0033263;GO:0005737;GO:0005768;GO:0010008;GO:0005576;GO:0030897;GO:0009705;GO:0046872;GO:0030674;GO:0007032;GO:0006886;GO:0035542;GO:0010015;GO:0007033;GO:0006904
P42232	GO:0005737;GO:0005829;GO:0005654;GO:0005634;GO:0003682;GO:0003677;GO:0001228;GO:0003700;GO:0003690;GO:0035259;GO:0042802;GO:0046983;GO:0000978;GO:0043565;GO:0006953;GO:0071364;GO:0071363;GO:0032870;GO:0019221;GO:0006952;GO:0046543;GO:0046544;GO:0007565;GO:0060397;GO:0007595;GO:0019915;GO:0001889;GO:0001553;GO:0097531;GO:0001779;GO:0043066;GO:0045647;GO:0048541;GO:0042104;GO:0045579;GO:0008284;GO:0051272;GO:0045648;GO:0045588;GO:0050729;GO:0032743;GO:0045621;GO:0045931;GO:0040018;GO:0032825;GO:0045954;GO:0032819;GO:0048661;GO:0045944;GO:0042448;GO:0007259;GO:0030155;GO:0042127;GO:0030856;GO:0040014;GO:0019218;GO:0006357;GO:0006355;GO:0032355;GO:0070672;GO:0070669;GO:0070670;GO:0032496;GO:0043434;GO:0007548;GO:0033077;GO:0043029;GO:0019530;GO:0006366
Q7U2I0	GO:0009013;GO:0006099
Q290M9	GO:1990246;GO:0036444;GO:0051560;GO:0006851
Q9VXG4	GO:0005737;GO:0005509;GO:0005544
Q7PVQ9	GO:0005665;GO:0003677;GO:0046983;GO:0001055
Q969S3	GO:0005829;GO:0005794;GO:0005730;GO:0005654;GO:0030687;GO:0003723;GO:0008270;GO:0008631;GO:0043065;GO:0046330;GO:0033674;GO:0043410;GO:0042273
Q8IY21	GO:0005737;GO:0005829;GO:0045111;GO:0005524;GO:0003690;GO:0003725;GO:0003724;GO:0003727;GO:0051607;GO:0045087;GO:1900245;GO:1900246;GO:0009615
Q8Q0U0	
A0QNZ7	GO:0005618;GO:0005576;GO:0005886;GO:0047372;GO:0006633;GO:0016042
O95477	GO:0016323;GO:0030139;GO:0005789;GO:0005768;GO:0009897;GO:0005794;GO:0005887;GO:0043231;GO:0045121;GO:0048471;GO:0045335;GO:0005886;GO:0034186;GO:0034188;GO:0034185;GO:0005524;GO:0016887;GO:0051117;GO:0042626;GO:0015485;GO:0120020;GO:0140328;GO:0008035;GO:0005319;GO:0031210;GO:0090554;GO:0090556;GO:0008320;GO:0005102;GO:0031267;GO:0046623;GO:0019905;GO:0007189;GO:0071397;GO:0071345;GO:0035690;GO:0071222;GO:0071404;GO:0071300;GO:0033344;GO:0042632;GO:0008203;GO:0016197;GO:0140115;GO:0007186;GO:0034380;GO:0032611;GO:0032367;GO:0006869;GO:0007040;GO:0010887;GO:0010745;GO:0002790;GO:0006911;GO:0033700;GO:0055091;GO:0045332;GO:0060155;GO:0010875;GO:0090108;GO:0006497;GO:0071806;GO:0032489;GO:0090107;GO:0019216;GO:0034616;GO:0007584;GO:0043691;GO:0023061
Q4V7A8	GO:0005576
O14324	GO:0030134;GO:0005783;GO:0005789;GO:0005793;GO:0005794;GO:0000139;GO:0016021;GO:0006888;GO:0007030;GO:0006886
P82927	GO:0005743;GO:0005762
P28011	GO:0005737;GO:0004069;GO:0030170;GO:0009058;GO:0006520
Q9UT67	GO:0033106;GO:0005794;GO:0000139;GO:0016021;GO:0031501;GO:0032588;GO:0000030;GO:0051999
P51644	GO:0005794;GO:0005525;GO:0015031;GO:0016192
Q24K21	GO:0005576;GO:0007368;GO:0003351;GO:0030317;GO:0021670;GO:0060972;GO:0007283;GO:0021678
Q6MJV1	GO:0016021;GO:0005886;GO:0005524;GO:0004176;GO:0004222;GO:0008270;GO:0030163
Q55GN6	GO:0016308;GO:0005524;GO:0016307;GO:1902635;GO:0032147;GO:0043327;GO:0046578
Q43362	GO:0016021;GO:0033179;GO:0005774;GO:0015078
P0DKM0	GO:0016021;GO:0031966;GO:0005739;GO:0033617;GO:0008535
P0AC90	GO:0008446;GO:0070401;GO:0042351;GO:0019673
B0XSI3	GO:0005789;GO:0016021;GO:0102339;GO:0102340;GO:0102342;GO:0102341;GO:0045703;GO:0030497
Q9ZW33	GO:0005743;GO:0005758;GO:0046872;GO:0045039
P62866	GO:0005840;GO:0003735;GO:0006412
O60121	GO:0005743;GO:0005739;GO:0007006
