"kMEblack"	"kMEgreenyellow"	"kMEgrey"	"kMEmagenta"	"kMEred"	"kMEtan"	"kMEyellow"
"TRINITY_DN4780_c0_g1_i2"	0.165603956586036	-0.0539860480899066	-0.122039536427771	-0.507125292509297	-0.262331191274238	-0.254016064637417	0.497346935692779
"TRINITY_DN4714_c2_g1_i1"	-0.656270867691788	-0.180481492392239	-0.00504389206204214	0.359183765050147	0.844376108885907	0.332870397268278	-0.742059935078043
"TRINITY_DN4714_c0_g1_i17"	0.548754323985403	-0.313273804211344	0.385577954564899	-0.373118530493865	-0.668451111883157	-0.203777338593877	0.815585404169414
"TRINITY_DN4714_c0_g1_i2"	0.400394661595264	0.177458358744345	-0.323130420800865	0.0434258158757679	-0.303203998649419	-0.0142909977872093	0.243596780676857
"TRINITY_DN4714_c0_g1_i4"	0.31360539706953	-0.0718178307429911	0.0726056028456726	-0.550710959354834	-0.541565993510984	-0.442562154090637	0.671505942036583
"TRINITY_DN4714_c0_g1_i5"	-0.642959030169824	-0.029676109723597	0.0161785767778597	0.421087348575134	0.911051342682116	0.343409868099828	-0.899691315694667
"TRINITY_DN4714_c0_g1_i6"	-0.513663599644926	-0.0640911729771506	-0.0108331179932348	0.402553309921684	0.774915390745362	0.362776982949894	-0.631664203412959
"TRINITY_DN4730_c0_g2_i1"	0.874810502497476	0.120692565567253	-0.00678735337867096	-0.50824250719885	-0.847939498909533	-0.42836672297607	0.757829885551999
"TRINITY_DN4735_c0_g1_i1"	-0.633207300588387	-0.0779705026154223	-0.0346459536882208	0.375521331715053	0.911266399172158	0.372932373945499	-0.870068463727413
"TRINITY_DN4754_c0_g1_i2"	0.543895212242611	0.187557545625501	-0.174036200736158	0.085295231083885	-0.121950559122343	0.029879728532016	-0.0583153088785916
"TRINITY_DN4739_c0_g1_i1"	-0.803644474805165	-0.252326850355196	-0.172397871066008	0.366447473751991	0.894738572913624	0.47117890964187	-0.741415144658734
"TRINITY_DN4742_c0_g1_i1"	-0.714738064864452	-0.235321386658111	-0.0112897196218969	0.281710847264682	0.987165784938466	0.392455140304239	-0.781618047909562
"TRINITY_DN4744_c0_g1_i12"	0.295769749508716	-0.190133544091349	0.123005664747569	-0.373643528784197	-0.761703994379697	-0.193501920948606	0.916627567188934
