"072"	"294"
"TRINITY_DN27645_c1_g3_i2"	11.4222	52.782
"TRINITY_DN70042_c1_g2_i1"	17.4245	186.168
"TRINITY_DN18530_c1_g1_i3"	0.0526427	37.2869
"TRINITY_DN18524_c1_g1_i10"	0.48901	35.8491
"TRINITY_DN18524_c1_g1_i5"	0	30.0051
"TRINITY_DN18524_c9_g1_i9"	12.4481	66.9206
"TRINITY_DN18537_c0_g1_i17"	0.459819	32.4878
"TRINITY_DN18537_c0_g1_i2"	6.84007	38.8885
"TRINITY_DN5418_c2_g1_i12"	4.51936	35.915
"TRINITY_DN5401_c1_g2_i1"	66.0666	61.9418
"TRINITY_DN5457_c1_g1_i3"	7.35656	39.8892
"TRINITY_DN5489_c0_g1_i3"	0.802445	11.5954
"TRINITY_DN5489_c0_g1_i47"	0.160575	18.3399
"TRINITY_DN5489_c0_g1_i40"	0.50189	17.4385
"TRINITY_DN5489_c0_g1_i73"	0.57501	15.0523
"TRINITY_DN5455_c0_g1_i4"	34.6434	31.136
"TRINITY_DN5455_c5_g1_i4"	14.7872	124.648
"TRINITY_DN5486_c1_g1_i1"	3.5696	47.6887
"TRINITY_DN5481_c0_g2_i3"	7.92268	39.5627
"TRINITY_DN5481_c0_g2_i5"	3.38567	72.0483
"TRINITY_DN5481_c4_g1_i1"	42.2253	33.3848
"TRINITY_DN70132_c1_g1_i2"	3.40955	47.0759
"TRINITY_DN35842_c2_g1_i3"	45.9982	20.5357
"TRINITY_DN10426_c1_g1_i3"	0	33.411
"TRINITY_DN4533_c0_g1_i3"	1.63357	25.4581
"TRINITY_DN4581_c1_g1_i6"	0.71974	19.1814
"TRINITY_DN4581_c2_g1_i2"	1.62622	31.7261
"TRINITY_DN4552_c10_g2_i1"	5.78449	51.3094
"TRINITY_DN4517_c8_g1_i2"	0.349505	32.0108
"TRINITY_DN4515_c1_g1_i3"	57.8482	21.1045
"TRINITY_DN4507_c1_g1_i7"	1.81181	20.6665
"TRINITY_DN4529_c4_g3_i3"	0.181865	11.4875
"TRINITY_DN17767_c0_g1_i10"	1.6597	35.8271
"TRINITY_DN17725_c1_g1_i12"	0.397379	12.7118
"TRINITY_DN3613_c14_g1_i1"	0.899349	52.08
"TRINITY_DN3673_c0_g1_i3"	16.9426	42.887
"TRINITY_DN3665_c0_g1_i12"	0.60643	13.2096
"TRINITY_DN3676_c0_g1_i4"	51.6882	35.2408
"TRINITY_DN3624_c2_g1_i23"	4.83472	67.1027
"TRINITY_DN3624_c2_g1_i18"	0	30.768
"TRINITY_DN3690_c8_g1_i2"	24.9635	54.4533
"TRINITY_DN43023_c0_g2_i1"	6.82977	37.0514
"TRINITY_DN93895_c2_g2_i6"	25.4251	97.6578
"TRINITY_DN2754_c9_g4_i1"	1.50183	36.0766
"TRINITY_DN2790_c0_g1_i6"	58.7514	35.6689
"TRINITY_DN2790_c0_g1_i5"	0	12.8947
"TRINITY_DN2720_c0_g1_i13"	3.06695	46.6092
"TRINITY_DN2716_c3_g1_i3"	43.3036	27.4546
"TRINITY_DN2793_c1_g1_i7"	36.8391	46.9383
"TRINITY_DN2779_c0_g1_i16"	8.11897	44.0556
"TRINITY_DN16950_c0_g1_i6"	24.923	64.7252
"TRINITY_DN16950_c0_g1_i9"	9.05092	101.584
"TRINITY_DN16978_c3_g2_i1"	23.4059	132.76
"TRINITY_DN16934_c0_g1_i1"	15.5389	47.9815
"TRINITY_DN58514_c4_g1_i1"	34.2539	30.1133
"TRINITY_DN75754_c0_g1_i3"	1.35431	37.4433
"TRINITY_DN42229_c1_g1_i1"	0.808963	38.8271
"TRINITY_DN9482_c0_g1_i7"	1.30033	16.592
"TRINITY_DN9442_c0_g1_i3"	21.0108	55.5799
"TRINITY_DN8552_c0_g1_i19"	0.777864	31.8562
"TRINITY_DN8552_c4_g1_i1"	8.46646	135.086
"TRINITY_DN8562_c0_g1_i14"	0	31.1461
"TRINITY_DN8562_c0_g1_i8"	0.767451	71.6171
"TRINITY_DN8562_c1_g1_i9"	0	27.8495
"TRINITY_DN8512_c0_g1_i5"	13.2739	56.1165
"TRINITY_DN8512_c1_g1_i3"	2.88465	39.1291
"TRINITY_DN8508_c0_g1_i28"	4.89234	34.0087
"TRINITY_DN24136_c0_g2_i1"	8.09783	71.2031
"TRINITY_DN41323_c0_g1_i4"	4.36838	47.6954
"TRINITY_DN15013_c0_g1_i34"	0.176345	17.2698
"TRINITY_DN15013_c0_g1_i8"	11.5805	70.8051
"TRINITY_DN15013_c0_g1_i16"	13.4266	257.505
"TRINITY_DN15068_c1_g1_i5"	1.44483	59.4833
"TRINITY_DN15087_c0_g1_i11"	5.39184	266.375
"TRINITY_DN15087_c0_g1_i8"	7.45697	129.5
"TRINITY_DN15071_c0_g1_i8"	55.3905	21.0146
"TRINITY_DN7665_c6_g1_i8"	11.9197	89.1862
"TRINITY_DN7609_c3_g1_i15"	26.3733	36.355
"TRINITY_DN7606_c0_g2_i1"	6.33318	95.9422
"TRINITY_DN15169_c1_g1_i7"	15.8822	212.468
"TRINITY_DN6775_c12_g1_i2"	0	10.9236
"TRINITY_DN6704_c1_g1_i6"	0	12.2314
"TRINITY_DN6747_c0_g1_i1"	31.6692	23.2686
"TRINITY_DN6757_c0_g5_i2"	14.2081	63.1656
"TRINITY_DN6754_c0_g1_i6"	45.0086	63.7312
"TRINITY_DN39619_c4_g1_i2"	0.425443	62.3707
"TRINITY_DN40597_c0_g1_i5"	1.0496	22.7111
"TRINITY_DN220_c3_g1_i2"	9.43955	41.8866
"TRINITY_DN205_c8_g1_i9"	41.9017	23.9888
"TRINITY_DN274_c0_g2_i1"	3.91084	136.344
"TRINITY_DN284_c0_g1_i5"	5.66707	61.1445
"TRINITY_DN284_c0_g1_i3"	2.26301	59.6676
"TRINITY_DN284_c0_g1_i4"	4.17877	71.3841
"TRINITY_DN284_c0_g1_i14"	1.71254	28.9955
"TRINITY_DN226_c68_g1_i6"	0	38.5467
"TRINITY_DN226_c34_g1_i1"	0.164192	22.0571
"TRINITY_DN226_c15_g1_i4"	47.7951	29.0115
"TRINITY_DN226_c3_g1_i3"	3.92859	38.1119
"TRINITY_DN296_c0_g1_i1"	3.23668	55.4276
"TRINITY_DN296_c0_g2_i3"	0.985825	39.5639
"TRINITY_DN296_c23_g1_i2"	1.78471	42.2062
"TRINITY_DN253_c0_g2_i2"	0.518058	33.2251
"TRINITY_DN287_c1_g1_i1"	7.06414	43.9181
"TRINITY_DN14303_c0_g1_i2"	6.85133	48.654
"TRINITY_DN14303_c0_g1_i1"	10.918	47.3761
"TRINITY_DN14303_c0_g1_i8"	6.5187	79.8493
"TRINITY_DN14346_c6_g1_i2"	0	13.436
"TRINITY_DN14326_c4_g1_i1"	11.7267	71.8831
"TRINITY_DN98527_c0_g1_i1"	7.08436	33.5574
"TRINITY_DN89583_c2_g1_i1"	4.56128	95.6166
"TRINITY_DN22589_c5_g1_i4"	52.2422	36.5397
"TRINITY_DN22513_c5_g1_i1"	46.867	29.2521
"TRINITY_DN13427_c0_g1_i1"	26.9585	33.8931
"TRINITY_DN81383_c2_g1_i9"	0	15.5496
"TRINITY_DN13531_c0_g1_i25"	0.868941	20.396
"TRINITY_DN13531_c0_g1_i44"	0.698112	65.7824
"TRINITY_DN13531_c0_g1_i9"	16.699	46.794
"TRINITY_DN30741_c1_g1_i1"	24.5909	72.9172
"TRINITY_DN88652_c1_g1_i13"	0.808537	12.448
"TRINITY_DN88673_c0_g1_i11"	54.3178	23.6085
"TRINITY_DN3930_c0_g1_i15"	8.29384	39.7558
"TRINITY_DN3930_c0_g1_i3"	24.0134	86.7777
"TRINITY_DN3907_c5_g1_i7"	9.17019	58.0069
"TRINITY_DN3911_c6_g1_i8"	6.68361	37.678
"TRINITY_DN3911_c9_g2_i2"	49.5227	21.1953
"TRINITY_DN3970_c0_g1_i4"	0.553372	48.1475
"TRINITY_DN3956_c0_g1_i1"	2.52728	58.4704
"TRINITY_DN46086_c0_g3_i1"	5.90392	183.134
"TRINITY_DN46079_c0_g1_i1"	0.552888	18.5868
