"173"	"272"
"TRINITY_DN2811_c1_g1_i20"	150.255	0
"TRINITY_DN68634_c0_g1_i3"	222.183	0
"TRINITY_DN1982_c1_g3_i3"	314.339	0.293985
"TRINITY_DN1982_c1_g1_i1"	560.42	0.0226865
"TRINITY_DN1917_c1_g1_i4"	305.64	0
"TRINITY_DN1938_c0_g1_i1"	367.091	0
"TRINITY_DN1926_c0_g1_i4"	153.843	0
"TRINITY_DN1926_c0_g1_i3"	155.719	0
"TRINITY_DN76818_c0_g1_i2"	686.949	0
"TRINITY_DN25185_c0_g1_i4"	218.661	0
"TRINITY_DN25185_c0_g1_i1"	205.514	0
"TRINITY_DN7724_c1_g1_i6"	537.847	0
"TRINITY_DN7728_c0_g1_i18"	4277.32	0
"TRINITY_DN7738_c0_g1_i5"	570.61	0
"TRINITY_DN84064_c0_g1_i1"	446.159	0
"TRINITY_DN33479_c0_g1_i2"	751.623	0
"TRINITY_DN33487_c0_g1_i7"	99.9569	1.75417
"TRINITY_DN24478_c0_g1_i8"	203.091	0
"TRINITY_DN41669_c0_g2_i6"	148.818	0
"TRINITY_DN41669_c0_g1_i3"	144.437	0
"TRINITY_DN5960_c1_g1_i11"	222.482	0
"TRINITY_DN15302_c0_g1_i2"	159.061	0
"TRINITY_DN83294_c1_g1_i1"	30301.8	0
"TRINITY_DN32679_c0_g1_i4"	175.366	0
"TRINITY_DN39972_c0_g1_i2"	700.821	0
"TRINITY_DN23661_c0_g1_i3"	184.25	0
"TRINITY_DN14583_c0_g1_i5"	140.779	0
"TRINITY_DN14555_c0_g1_i3"	206.946	0
"TRINITY_DN98799_c1_g2_i6"	427.972	0
"TRINITY_DN98799_c1_g2_i8"	294.299	0.063868
"TRINITY_DN98799_c1_g2_i5"	551.574	0
"TRINITY_DN73341_c0_g1_i3"	466.337	0
"TRINITY_DN4162_c2_g1_i9"	2676.71	1.48885
"TRINITY_DN4130_c0_g1_i2"	654.084	0
"TRINITY_DN4115_c0_g1_i8"	288.451	0
"TRINITY_DN4163_c0_g1_i11"	178.311	0
"TRINITY_DN4163_c0_g1_i18"	354.551	0
"TRINITY_DN4187_c0_g1_i10"	330.958	0
"TRINITY_DN22807_c0_g1_i3"	217.835	0
"TRINITY_DN13755_c0_g2_i1"	237.149	0.135769
"TRINITY_DN3244_c0_g1_i8"	314.48	0
"TRINITY_DN3260_c0_g2_i2"	169.575	0
"TRINITY_DN3238_c0_g1_i2"	281.68	0
"TRINITY_DN55402_c0_g1_i6"	168.051	0
"TRINITY_DN88996_c0_g1_i10"	271.094	0
"TRINITY_DN88983_c0_g1_i3"	287.124	0
"TRINITY_DN2303_c0_g1_i1"	228.183	0
"TRINITY_DN2354_c24_g1_i8"	380.103	11.0723
"TRINITY_DN2354_c24_g1_i6"	548.093	26.1879
"TRINITY_DN2321_c3_g1_i7"	181.646	0
"TRINITY_DN2361_c1_g2_i8"	306.727	0
"TRINITY_DN12984_c0_g1_i1"	157.441	0.105873
"TRINITY_DN63692_c4_g2_i2"	360.305	0
"TRINITY_DN63692_c4_g1_i3"	910.377	0
"TRINITY_DN1448_c0_g2_i3"	198.609	0
"TRINITY_DN1442_c1_g1_i15"	182.854	0
"TRINITY_DN1494_c1_g2_i1"	159.118	0
"TRINITY_DN9079_c0_g1_i4"	195.229	0
"TRINITY_DN19131_c0_g1_i5"	193.441	0
"TRINITY_DN19147_c0_g1_i4"	279.257	0
"TRINITY_DN62726_c0_g1_i3"	1592.37	0
"TRINITY_DN8150_c4_g1_i3"	609.31	0
"TRINITY_DN8182_c0_g1_i7"	1934.59	0
"TRINITY_DN20132_c0_g1_i2"	168.031	0
"TRINITY_DN20159_c0_g1_i14"	142.113	0
"TRINITY_DN36505_c0_g1_i1"	390.913	0
"TRINITY_DN11023_c0_g1_i4"	235.621	0
"TRINITY_DN7216_c0_g1_i2"	160.112	1.38332
"TRINITY_DN7201_c2_g1_i3"	289.929	17.4066
"TRINITY_DN11178_c0_g2_i3"	287.758	0
