"kMEblack"	"kMEbrown"	"kMEgreen"	"kMEgrey"	"kMEpink"	"kMEyellow"
"TRINITY_DN40_c0_g1_i2"	0.298137097749536	0.97855202548708	0.413433161938262	-0.259181372254927	-0.251680286278331	-0.28388190052491
"TRINITY_DN50_c0_g1_i4"	0.381477365002262	0.963333435311394	0.348295640488637	-0.206936960151486	-0.108050516251672	-0.385112600715556
"TRINITY_DN50_c0_g1_i1"	0.002573845070734	0.856631086141743	0.660875765887093	-0.0219930149181459	-0.447189914526311	0.0452412806289873
"TRINITY_DN60_c0_g1_i2"	-0.142906092599514	0.847673480906971	0.798188962096169	-0.282991448216087	-0.382713807721585	0.0724715205164056
"TRINITY_DN60_c0_g1_i12"	0.28771486627518	0.849995597555888	0.321266245252254	-0.0162792738691785	-0.225079337243235	-0.254596975737465
"TRINITY_DN95_c0_g1_i7"	0.337289655890466	0.954828972233952	0.365866579129522	-0.11815925518257	-0.198006980817294	-0.318548696424204
"TRINITY_DN95_c0_g1_i4"	0.314035206030698	0.92814345574632	0.363868968831958	-0.26515423207586	-0.305646846321004	-0.307470521327439
"TRINITY_DN1_c0_g1_i1"	0.269141355740637	0.9745427898268	0.415806015477537	-0.435130950388226	-0.185086370912929	-0.327651075727067
"TRINITY_DN81_c0_g2_i2"	-0.526202237281909	0.461936438615334	0.941480914028596	-0.0493482177548535	-0.469846745808408	0.457109763399742
"TRINITY_DN81_c0_g1_i7"	-0.573429028777248	0.546825623994883	0.937175695266709	0.0425309546434677	-0.777981364520206	0.577460529455741
"TRINITY_DN81_c0_g1_i19"	-0.658247119923084	0.390697754126771	0.953644414965587	0.189110715927876	-0.774628342835285	0.705450764542658
"TRINITY_DN81_c0_g1_i13"	-0.845731588282797	-0.0849765270582677	0.686957134431869	0.473627534081346	-0.707497622052961	0.925993615489846
"TRINITY_DN81_c0_g1_i28"	-0.652895279609212	0.46528095618349	0.970303538596076	0.112022163843842	-0.792028979614967	0.676312671292676
