"id072_TPM"	"id294_TPM"
"TRINITY_DN522_c5_g1_i1"	366.206	125.047
"TRINITY_DN8896_c1_g1_i3"	171.894	168.772
"TRINITY_DN2167_c10_g1_i4"	130.758	204.212
"TRINITY_DN2179_c16_g1_i4"	648.242	159.642
"TRINITY_DN2113_c11_g1_i5"	130.946	21.8634
"TRINITY_DN10955_c5_g1_i1"	96.6022	22.9552
"TRINITY_DN10946_c0_g1_i14"	564.663	55.7249
"TRINITY_DN1253_c1_g1_i1"	64.7594	29.8239
"TRINITY_DN1261_c1_g2_i2"	95.3026	45.3592
"TRINITY_DN76022_c1_g1_i1"	120.059	44.79
"TRINITY_DN51765_c0_g1_i1"	123.787	51.6764
"TRINITY_DN7068_c1_g1_i1"	60.7108	25.5752
"TRINITY_DN7043_c0_g1_i6"	273.89	15.2478
"TRINITY_DN67051_c4_g1_i2"	306.924	245.049
"TRINITY_DN998_c3_g1_i1"	85.184	32.3565
"TRINITY_DN998_c0_g1_i10"	81.8384	22.4434
"TRINITY_DN998_c0_g1_i3"	79.5232	32.6586
"TRINITY_DN974_c2_g1_i12"	118.178	20.4575
"TRINITY_DN974_c2_g1_i8"	203.448	37.104
"TRINITY_DN958_c0_g1_i2"	296.098	6.84145
"TRINITY_DN973_c24_g2_i1"	91.0532	50.3946
"TRINITY_DN943_c3_g1_i2"	343.582	34.6179
"TRINITY_DN16406_c4_g1_i1"	8965.22	21.4295
"TRINITY_DN6187_c2_g1_i6"	81.0935	24.3748
"TRINITY_DN75209_c0_g1_i2"	301.469	255.951
"TRINITY_DN41976_c0_g1_i1"	1318.65	279.228
"TRINITY_DN15608_c0_g1_i1"	366.018	60.3988
"TRINITY_DN15670_c0_g2_i1"	694.018	287.314
"TRINITY_DN57302_c0_g1_i36"	180.846	31.4927
"TRINITY_DN3317_c45_g1_i1"	318.072	258.205
"TRINITY_DN3311_c1_g1_i11"	970.451	57.4809
"TRINITY_DN3389_c7_g1_i4"	117.795	26.8262
"TRINITY_DN82714_c0_g1_i1"	700.936	429.766
"TRINITY_DN2416_c19_g1_i1"	151.69	218.947
"TRINITY_DN2442_c8_g1_i2"	68.7694	29.6804
"TRINITY_DN2442_c29_g1_i1"	69.02	31.4417
"TRINITY_DN2415_c1_g1_i7"	67.3398	36.9062
"TRINITY_DN1550_c26_g1_i1"	183.48	60.8607
"TRINITY_DN1550_c0_g1_i3"	259.632	91.4332
"TRINITY_DN1550_c0_g1_i31"	1203.32	426.544
"TRINITY_DN1550_c3_g1_i1"	89.4856	23.702
"TRINITY_DN1550_c27_g1_i2"	87.5535	26.3429
"TRINITY_DN1584_c11_g1_i4"	321.964	238.446
"TRINITY_DN29389_c15_g1_i2"	448.27	255.923
"TRINITY_DN7372_c0_g2_i1"	64.1767	28.5972
"TRINITY_DN7376_c1_g1_i5"	159.368	21.0421
"TRINITY_DN96346_c5_g1_i1"	287.434	309.466
"TRINITY_DN45737_c0_g1_i6"	73.5586	28.1243
"TRINITY_DN96420_c0_g1_i6"	2315.03	599.572
"TRINITY_DN6402_c2_g1_i1"	142.712	47.1004
"TRINITY_DN6402_c2_g1_i2"	162.392	49.1306
"TRINITY_DN6405_c46_g1_i1"	187.325	126.458
"TRINITY_DN6405_c46_g1_i8"	86.1091	37.5292
"TRINITY_DN45840_c2_g1_i4"	177.604	149.196
"TRINITY_DN20397_c0_g1_i6"	101.079	40.774
"TRINITY_DN19506_c0_g1_i26"	103.558	43.9455
"TRINITY_DN36720_c4_g1_i1"	113.883	230.243
"TRINITY_DN20486_c5_g1_i3"	764.078	131.895
"TRINITY_DN5502_c41_g1_i1"	380.956	168.623
"TRINITY_DN11378_c15_g1_i2"	101.794	41.934
"TRINITY_DN11340_c1_g1_i1"	249.701	92.7518
"TRINITY_DN4617_c1_g1_i3"	208.737	150.504
"TRINITY_DN69374_c2_g1_i22"	113.162	38.3084
"TRINITY_DN70287_c3_g1_i1"	98.7966	34.2967
"TRINITY_DN18715_c1_g1_i1"	231.22	79.86
"TRINITY_DN61133_c0_g1_i28"	159.145	16.7943
"TRINITY_DN77542_c4_g1_i2"	358.421	154.144
"TRINITY_DN77510_c0_g1_i1"	60.6917	26.9368
"TRINITY_DN10554_c0_g2_i17"	118.849	49.6236
"TRINITY_DN26965_c0_g1_i8"	268.251	82.2413
"TRINITY_DN67678_c0_g1_i2"	381.487	136.834
"TRINITY_DN25029_c4_g1_i2"	242.1	311.51
"TRINITY_DN8609_c1_g1_i7"	338.251	152.548
"TRINITY_DN1037_c14_g1_i2"	100.096	35.8086
"TRINITY_DN1038_c79_g1_i5"	439.388	137.47
"TRINITY_DN1038_c5_g1_i2"	335.87	39.2631
"TRINITY_DN1038_c1_g1_i4"	158.66	55.3766
"TRINITY_DN1038_c2_g1_i24"	177.555	12.7184
"TRINITY_DN1044_c7_g1_i6"	245.354	46.6512
"TRINITY_DN1044_c7_g1_i5"	436.533	95.4687
"TRINITY_DN1019_c1_g1_i3"	61.5673	25.3531
"TRINITY_DN50516_c0_g1_i2"	626.189	290.747
"TRINITY_DN24299_c0_g1_i3"	332.857	335.564
"TRINITY_DN340_c6_g1_i9"	130.566	41.5066
"TRINITY_DN387_c1_g1_i6"	133.499	241.232
"TRINITY_DN365_c23_g1_i6"	121.004	174.812
"TRINITY_DN319_c24_g1_i1"	63.2364	27.8387
